Comment,Designator,Footprint,Quantity,LCSC,Manufacturer,MPN,Value,DNP,Note
ESP32-C3-MINI-1-N4 Wi-Fi/BLE module 4MB flash PCB antenna,U1,RF_ESP32-C3-MINI-1,1,C2838502,Espressif,ESP32-C3-MINI-1-N4,ESP32-C3FH4 4MB,NO,主控。模组脚 3=3V3 8=EN 13=IO1 6=IO3 19=IO5 23=IO9 30=RXD0 31=TXD0
TPS61099 0.7-5.5Vin boost Iq 1uA adj 3.3V,U2,WSON-6-EP_2x2,1,C2842395,Texas Instruments,TPS61099DRVR,Boost 3.3V,NO,纽扣电池升到 3.3V。EN 接 VBAT。FB: R8/R9
TMAG5233D1E in-plane omnipolar hall 40Hz 2.7uA,U3,SOT-23-3,1,C44538511,Texas Instruments,TMAG5233D1EDBVR,Hall side-sense,NO,立创现货。侧感应X轴。1=VCC 2=OUT 3=GND。OUT->Q1栅。D1B无货可替但常缺
2N7002 NMOS inverter,Q1,SOT-23,1,C8545,On Semiconductor,2N7002,NMOS,NO,G=HALL_OUT S=GND D=GPIO5。门开拉低
Reed switch unused,SW2,REED_14mm_TH,1,C93038,MKA,MKA-14103,SPST-NO,YES,本版不贴
CR2450 SMT battery holder,BT1,BAT_CR2450_SMD,1,C964809,MYOUNG,BS-24-B4AA016,CR2450 holder,NO,金触点卧式。编带用 C964810
CR2450 Li-MnO2 3V ~620mAh,BT2,COIN_CR2450,1,,Panasonic / Murata / EVE,CR2450,3.0V,NO,不贴片。量产不要用 CR2032
Inductor 2.2uH Isat>=1.5A DCR<=80mOhm,L1,IND_0805_2016,1,,TDK,TFM201610ALM-2R2MTAA,2.2uH,NO,TPS61099 Vout>3.0V 推荐 2.2uH。替代 Sunlord MWSA2016S-2R2MT
10uF 25V X5R 0603 VIN bulk,C1,C_0603,1,C96446,Samsung,CL10A106KA8NNNC,10uF/25V,NO,靠近 U2 VIN
10uF 25V X5R 0603 VOUT,C2 C3,C_0603,2,C96446,Samsung,CL10A106KA8NNNC,10uF/25V,NO,U2 VOUT 两颗并联 >=20uF
100nF 16V X7R 0402,C4 C5 C8 C9,C_0402,4,C1525,Samsung,CL05B104KO5NNNC,100nF/16V,NO,C4=U2 VIN HF; C5=3V3 模组旁; C8=霍尔 VCC; C9=ADC 滤波
1uF 16V X5R 0402 CHIP_EN,C6,C_0402,1,C52923,Samsung,CL05A105KO5NNNC,1uF/16V,NO,CHIP_EN 对地。与 R3 组成上电延时
10uF 25V X5R 0603 module 3V3,C7,C_0603,1,C96446,Samsung,CL10A106KA8NNNC,10uF/25V,NO,模组 3V3 入口。乐鑫要求 >=10uF
1M 1% 0402 VBAT divider high,R1,R_0402,1,C26083,UNI-ROYAL,0402WGF1004TCE,1M,NO,VBAT -- R1 -- GPIO1
1M 1% 0402 VBAT divider low,R2,R_0402,1,C26083,UNI-ROYAL,0402WGF1004TCE,1M,NO,GPIO1 -- R2 -- GND。固件 BATTERY_DIVIDER_RATIO=2
10k 1% 0402 CHIP_EN pull-up,R3,R_0402,1,C25744,UNI-ROYAL,0402WGF1002TCE,10k,NO,3V3 -- R3 -- EN
100k 1% 0402 boost EN pull-up,R4,R_0402,1,C25741,UNI-ROYAL,0402WGF1003TCE,100k,NO,VBAT -- R4 -- U2.EN
10k 1% 0402 GPIO9 boot pull-up,R5,R_0402,1,C25744,UNI-ROYAL,0402WGF1002TCE,10k,NO,3V3 -- R5 -- IO9。下载时 IO9 拉低
10k 1% 0402 factory-reset pull-up,R6,R_0402,1,C25744,UNI-ROYAL,0402WGF1002TCE,10k,NO,3V3 -- R6 -- GPIO3。固件也开内部上拉
1M 1% 0402 GPIO5 pull-up after inverter,R10,R_0402,1,C26083,UNI-ROYAL,0402WGF1004TCE,1M,NO,3V3 -- R10 -- GPIO5。门关不耗电
1M 1% 0402 boost FB top,R8,R_0402,1,C26083,UNI-ROYAL,0402WGF1004TCE,1M,NO,VOUT -- R8 -- FB。3.3V=(1+R8/R9)
430k 1% 0402 boost FB bottom,R9,R_0402,1,,UNI-ROYAL,0402WGF4303TCE,430k,NO,FB -- R9 -- GND => 3.326V。E96 可用 442k
Tactile SPST-NO factory reset,SW1,SW_SPST_5.1x5.1,1,C318884,XKB,TS-1187A-B-A-B,SPST-NO,NO,GPIO3 对 GND。上电按住约 1.5s 清配对
6-pin 2.54mm programming header,J1,HDR_1x06_2.54,1,,XFCN,PZ254V-11-06P,2.54-1x6,NO,1=3V3 2=GND 3=TX(IO21) 4=RX(IO20) 5=IO9 6=EN。立创搜 2.54mm 1x6 直插排针
NdFeB magnet D10x2 N35,MAG1,MECH_MAGNET,1,,generic,D10x2-N35,N35,NO,从PCB侧面靠近TMAG5233的pin1-pin2轴向
PCB 1.6mm 2-layer ENIG door-sensor,PCB1,PCB,1,,JLC,BLEHomekit-Door-r1,FR4,NO,天线净空按乐鑫模组规范。无电源 LED
