Net,RefDes,Pin,PinName,Part
GND,U1,1,GND,ESP32-C3-MINI-1-N4
GND,U1,2,GND,ESP32-C3-MINI-1-N4
GND,U1,11,GND,ESP32-C3-MINI-1-N4
GND,U1,14,GND,ESP32-C3-MINI-1-N4
GND,U1,36,GND,ESP32-C3-MINI-1-N4
GND,U1,37,GND,ESP32-C3-MINI-1-N4
GND,U1,38,GND,ESP32-C3-MINI-1-N4
GND,U1,39,GND,ESP32-C3-MINI-1-N4
GND,U1,40,GND,ESP32-C3-MINI-1-N4
GND,U1,41,GND,ESP32-C3-MINI-1-N4
GND,U1,42,GND,ESP32-C3-MINI-1-N4
GND,U1,43,GND,ESP32-C3-MINI-1-N4
GND,U1,44,GND,ESP32-C3-MINI-1-N4
GND,U1,45,GND,ESP32-C3-MINI-1-N4
GND,U1,46,GND,ESP32-C3-MINI-1-N4
GND,U1,47,GND,ESP32-C3-MINI-1-N4
GND,U1,48,GND,ESP32-C3-MINI-1-N4
GND,U1,49,GND,ESP32-C3-MINI-1-N4
GND,U1,50,GND,ESP32-C3-MINI-1-N4
GND,U1,51,GND,ESP32-C3-MINI-1-N4
GND,U1,52,GND,ESP32-C3-MINI-1-N4
GND,U1,53,GND,ESP32-C3-MINI-1-N4
GND,U2,1,GND,TPS61099DRVR
GND,U2,7,PAD,TPS61099DRVR
GND,U3,3,GND,TMAG5233D1EDBVR
GND,Q1,2,S,2N7002
GND,BT1,2,-,BS-24-B4AA016
GND,C1,2,2,C1
GND,C2,2,2,C2
GND,C3,2,2,C3
GND,C4,2,2,C4
GND,C5,2,2,C5
GND,C6,2,2,C6
GND,C7,2,2,C7
GND,C8,2,2,C8
GND,C9,2,2,C9
GND,R2,2,2,1M
GND,R9,2,2,430k
GND,J1,2,2,HDR_1x06
VBAT,BT1,1,+,BS-24-B4AA016
VBAT,U2,6,VIN,TPS61099DRVR
VBAT,L1,1,1,CKST201610-2.2uH/M
VBAT,R1,1,1,1M
VBAT,R4,1,1,100k
VBAT,C1,1,1,10uF
VBAT,C4,1,1,100nF
3V3,U1,3,3V3,ESP32-C3-MINI-1-N4
3V3,U2,2,VOUT,TPS61099DRVR
3V3,U3,1,VCC,TMAG5233D1EDBVR
3V3,C2,1,1,10uF
3V3,C3,1,1,10uF
3V3,C5,1,1,100nF
3V3,C7,1,1,10uF
3V3,C8,1,1,100nF
3V3,R3,1,1,10k
3V3,R5,1,1,10k
3V3,R8,1,1,1M
3V3,R10,1,1,1M
3V3,J1,1,1,HDR_1x06
SW,U2,5,SW,TPS61099DRVR
SW,L1,2,2,CKST201610-2.2uH/M
FB,U2,3,FB,TPS61099DRVR
FB,R8,2,2,1M
FB,R9,1,1,430k
BOOST_EN,U2,4,EN,TPS61099DRVR
BOOST_EN,R4,2,2,100k
CHIP_EN,U1,8,EN,ESP32-C3-MINI-1-N4
CHIP_EN,R3,2,2,10k
CHIP_EN,C6,1,1,1uF
CHIP_EN,J1,6,6,HDR_1x06
VBAT_ADC,U1,13,IO1,ESP32-C3-MINI-1-N4
VBAT_ADC,R1,2,2,1M
VBAT_ADC,R2,1,1,1M
VBAT_ADC,C9,1,1,100nF
HALL_OUT,U3,2,OUT,TMAG5233D1EDBVR
HALL_OUT,Q1,1,G,2N7002
GPIO5,U1,19,IO5,ESP32-C3-MINI-1-N4
GPIO5,Q1,3,D,2N7002
GPIO5,R10,2,2,1M
GPIO9,U1,23,IO9,ESP32-C3-MINI-1-N4
GPIO9,R5,2,2,10k
GPIO9,J1,5,5,HDR_1x06
TXD0,U1,31,TXD0,ESP32-C3-MINI-1-N4
TXD0,J1,3,3,HDR_1x06
RXD0,U1,30,RXD0,ESP32-C3-MINI-1-N4
RXD0,J1,4,4,HDR_1x06
